_state_name_,lg_dist_code,district_name,micro,small,medium,total
ANDHRA PRADESH,745,Alluri Sitharama Raju,876,5,NA,881
ANDHRA PRADESH,744,Anakapalli,3906,60,1,3967
ANDHRA PRADESH,502,ANANTHAPUR,30113,755,45,30913
ANDHRA PRADESH,753,Annamayya,5833,73,2,5908
ANDHRA PRADESH,750,Bapatla,4433,60,2,4495
ANDHRA PRADESH,503,CHITOOR,25755,860,57,26672
ANDHRA PRADESH,505,EAST GODAVARI,32609,1535,138,34282
ANDHRA PRADESH,748,Eluru,5724,97,NA,5821
ANDHRA PRADESH,506,GUNTUR,33410,2137,221,35768
ANDHRA PRADESH,746,Kakinada,6361,89,4,6454
